Nome;Fernandes1995;Coppedge1997;Globo2016;BB2017;ClaudioCouto2018;FolhaSP2018;Congresso2019
Avante;0;desconhecido;centro;esquerda conservadora;0;centro fisiológico;centro
DC;0;secular de centro-direita;centro;0;0;centro fisiológico;direita
DEM;direita;secular de direita;centro;direita conservadora;direita;"""direita que virou centro""";direita
MDB;centro;secular de centro;centro;direita conservadora;centro-direita;centro-esquerda liberal;centro
NOVO;0;0;centro-direita;0;direita;0;direita
Patriota;0;0;centro;direita progressista;direita;centro fisiológico;direita
PCB;0;0;esquerda;0;extrema-esquerda;0;0
PCdoB;esquerda;secular de esquerda;0;esquerda progressista;esquerda;esquerda trabalhista;esquerda
PCO;0;0;esquerda;0;extrema-esquerda;0;0
PDT;esquerda;secular de centro-esquerda;centro-esquerda;esquerda conservadora;centro-esquerda;esquerda trabalhista;esquerda
PL;direita;secular de direita;0;direita conservadora;centro-direita;centro fisiológico;direita
PMB;0;0;centro;0;0;0;direita
PMN;esquerda;desconhecido;0;0;0;esquerda trabalhista;esquerda
PODE;0;0;centro;direita conservadora;0;centro fisiológico;direita
PP;direita/centro;secular de direita/secular de centro-direita;direita;direita conservadora;direita;"""direita que virou centro""";direita
Cidadania;esquerda;secular de esquerda;centro-esquerda;direita progressista;centro;esquerda trabalhista;esquerda
Republicanos;0;0;centro-direita;direita conservadora;direita;centro fisiológico;direita
PROS;0;0;centro-esquerda;esquerda progressista;0;centro fisiológico;centro
PRTB;0;0;0;0;direita;centro fisiológico;direita
PSB;esquerda;secular de esquerda;centro-esquerda;esquerda progressista;centro-esquerda;esquerda trabalhista;esquerda
PSC;direita;cristão de centro;centro-direita;direita conservadora;extrema-direita;centro fisiológico;direita
PSD;0;0;centro;direita conservadora;centro-direita;centro fisiológico;direita
PSDB;centro;secular de centro-esquerda;0;direita conservadora;centro-direita;centro-esquerda liberal;centro
PSL;0;0;centro;direita conservadora;extrema-direita;centro fisiológico;direita
PSOL;0;0;esquerda;esquerda progressista;esquerda radical;esquerda trabalhista;esquerda
PSTU;0;0;esquerda;0;extrema-esquerda;esquerda trabalhista;0
PT;esquerda;secular de esquerda;esquerda;esquerda progressista;esquerda;esquerda trabalhista;esquerda
PTB;direita;0;0;direita conservadora;direita;centro fisiológico;direita
PTC;0;personalista;centro;0;0;centro fisiológico;direita
PV;esquerda;outro;centro;direita progressista;centro;centro-esquerda liberal;esquerda
REDE;0;0;0;esquerda progressista;centro-esquerda;centro-esquerda liberal;esquerda
Solidariedade;0;0;0;0;0;centro fisiológico;centro
UP;0;0;0;0;0;0;0
